id,role,from_joint,to_joint,centerline_length_in,section_width_in,section_depth_in
T1.brace.west,end brace,L0,U1,91.52874197403362,2.5,2.5
T1.upright.0,upright,L0,U0,81.6432482349228,3.0,3.0
T1.top,top chord,U0,U6,248.25,3.0,3.0
T1.brace.east,end brace,U5,L6,91.52874197403362,2.5,2.5
T1.upright.3,upright,L3,U3,81.6432482349228,3.0,3.0
T1.upright.4,upright,L4,U4,81.6432482349228,3.0,3.0
T1.upright.5,upright,L5,U5,81.6432482349228,3.0,3.0
T1.upright.2,upright,L2,U2,81.6432482349228,3.0,3.0
T1.upright.6,upright,L6,U6,81.6432482349228,3.0,3.0
T1.upright.1,upright,L1,U1,81.6432482349228,3.0,3.0
T1.bottom,bottom chord,L0,L6,248.25,3.0,3.0
